record_type,doc_type,doc_type_description,class_code_description,party1_type,party2_type,party3_type
D,LEAS,LEASE,DEEDS AND OTHER CONVEYANCES,LESSOR/LANDLORD,LESSEE/TENANT,NA
D,LIC,LICENSE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,LTPA,LETTERS  PATENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,MAPS,MAPS,OTHER DOCUMENTS,PARTY 1,NA,NA
D,MERG,MERGER,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,MISC,MISCELLANEOUS,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,MMTG,MASTER MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGEE/LENDER,NA,NA
D,MTGE,MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR/BORROWER,MORTGAGEE/LENDER,NA
D,PAT,POWER OF ATTORNEY,OTHER DOCUMENTS,PARTY ONE,PARTY TWO,NA
D,PRFL,PARTIAL RELEASE OF FED LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,PSAT,PARTIAL SATISFACTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,PSGN,UCC3 PARTIAL ASSIGNMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,REL,RELEASE,MORTGAGES & INSTRUMENTS,PARTY 1,PARTY 2,NA
D,RFL,RELEASE OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,RESO,RESOLUTION,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,RFTL,RELEASE OF FEDERAL TAX LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,RLSE,UCC3 RELEASE/UCC AMENDMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,RPAT,REVOCATION OF POWER OF ATTORNE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,RTXL,RELEASE OF ESTATE TAX LIEN,OTHER DOCUMENTS,DECEDENT,NA,NA
D,SAGE,SUNDRY AGREEMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,SAT,SATISFACTION OF MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,SMIS,SUNDRY MISCELLANEOUS,OTHER DOCUMENTS,PARTY 1,NA,NA
D,SMTG,SUNDRY MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,STP,STREET PROCEDURE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,SUBL,SUBORDINATION OF LEASE,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2,NA
D,SUBO,UCC3 SUBORDINATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,TLS,TAX LIEN SALE CERTIFICATE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,TERM,UCC3 TERMINATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,TERT,TERMINATION OF TRUST,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,UCC1,UNIFORM COMMERCIAL CODE 1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,ASSIGNEE
D,UCC3,UNIFORM COMMERCIAL CODE 3,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,VAC,VACATE ORDER,DEEDS AND OTHER CONVEYANCES,PARTY 1,NA,NA
D,WILL,CERTIFIED COPY OF WILL,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,ASGN,UCC3 ASSIGNMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NEW SECURED PARTY
D,ASSTO,ASSIGNMENT OF LEASE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,WSAT,WITHHELD SATISFACTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,RETT,NYS REAL ESTATE TRANSFER TAX,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,RPTT,NYC REAL PROPERTY TRANSFER TAX,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,CDEC,CONDO DECLARATION,DEEDS AND OTHER CONVEYANCES,PARTY 1,NA,NA
D,AL&R,ASSIGNMENT OF LEASES AND RENTS,MORTGAGES & INSTRUMENTS,ASSIGNOR,ASSIGNEE,NA
D,DEEDO,"DEED, OTHER",DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE,NA
D,AMTX,ADDITIONAL MORTGAGE TAX,MORTGAGES & INSTRUMENTS,PAYER,PARTY TWO,NA
D,AMND,UCC3 AMENDMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,AMTL,AMENDMENT OF TAX LIEN,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,ATL,ASSIGNMENT OF TAX LIEN,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,RPTT&RET,BOTH RPTT AND RETT,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,CORR,CORRECTION DOC-OFFICE USE ONLY,OTHER DOCUMENTS,PARTY 1,PARTY 2,PARTY 3
D,CORP,UCC 5 CORRECTION STATEMENT,UCC AND FEDERAL LIENS,PARTY 1,PARTY 2,PARTY 3
D,ZONE,ZONING LOT DESCRIPTION,OTHER DOCUMENTS,PARTY ONE,NA,NA
D,AALR,ASGN OF ASGN OF L&R,MORTGAGES & INSTRUMENTS,ASSIGNOR,ASSIGNEE,NA
D,CALR,CANCEL/TERM ASGN L&R,OTHER DOCUMENTS,PARTY ONE,PARTY TWO,NA
D,ADEC,AMENDED CONDO DECLARATION,OTHER DOCUMENTS,PARTY ONE,NA,NA
D,LOCC,LIEN OF COMMON CHARGES,OTHER DOCUMENTS,PARTY ONE/DEBTOR,PARTY TWO/SECURED PA,NA
D,TOLCC,TERM OF LIEN OF COMMON CHARGES,OTHER DOCUMENTS,PARTY ONE,PARTY TWO,NA
D,DEVR,DEVELOPMENT RIGHTS,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO,NA
D,DECM,DECLARATION OF MERGER,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO,NA
D,MLEA,MEMORANDUM OF LEASE,DEEDS AND OTHER CONVEYANCES,LESSOR,LESSEE,NA
D,MCON,MEMORANDUM OF CONTRACT,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO,NA
D,M&CON,MORTGAGE AND CONSOLIDATION,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE,NA
D,SPRD,MORTGAGE SPREADER AGREEMENT,MORTGAGES & INSTRUMENTS,PARTY ONE/MORTGAGOR,PARTY TWO/MORTGAGEE,NA
D,TL&R,TERMINATION OF ASSIGN OF L&R,OTHER DOCUMENTS,PARTY ONE,PARTY TWO,NA
D,SUBM,SUBORDINATION OF MORTGAGE,MORTGAGES & INSTRUMENTS,PARTY ONE,PARTY TWO,NA
D,PREL,PARTIAL RELEASE OF MORTGAGE,MORTGAGES & INSTRUMENTS,PARTY ONE,PARTY TWO,NA
D,ACON,ASSIGN/TERM OF CONTRACT/BID,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO,NA
D,CORRD,CORRECTION DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,CORRM,CORRECTION MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR/BORROWER,MORTGAGEE/LENDER,NA
D,CONDEED,CONFIRMATORY DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,REIT,REAL ESTATE INV TRUST DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,TERL,TERMINATION OF LEASE OR MEMO,OTHER DOCUMENTS,LESSOR,LESSEE,NA
D,ESTL,ESTOPPEL FOR OFFICE USE ONLY,OTHER DOCUMENTS,MORTGAGOR,NYC,NA
D,XXXX,APPRT BREAKDWN OFFICE USE ONLY,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE,NA
D,CMTG,COLLATERAL MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGOR,MORTGAGEE,NA
D,WFL,WITHDRAWAL OF A FED LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO,NA
D,ESRM,ESTOPPAL REMOVAL OFFICE USE ON,OTHER DOCUMENTS,PARTY ONE,PARTY TWO,NA
D,NTXL,NOTICE OF  ESTATE TAX LIEN,UCC AND FEDERAL LIENS,PARTY ONE,IRS,NA
D,NAPP,NOTICE OF APPROPRIATION,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO,NA
D,TERA,TERMINATION OF AGREEMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,RCRFL,REVOCATION OF CERTIF. OF RFL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,DEED COR,CORRECT  INDEX/DEED-OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE,NA
D,"DEED, LE",LIFE ESTATE DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,LIFE ESTATE RETAINED
D,"CORR, LE",CORRECT LIFE ESTATE OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,LIFE ESTATE RETAINED
D,"DEED, TS",TIMESHARE DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,UCC ADEN,UCC COOPERATIVE ADDENDUM,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,TERDECL,TERM. OF CONDO DECLARATION,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,NAFTL,CERT NONATTCHMENT FED TAX LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO,NA
D,APPRT,APP. ORDER BREAKDWN OFFICE USE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,AIRRIGHT,AIR RIGHTS,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,SI CORR,SI BILLING UPDATE OFFICE USE,DEEDS AND OTHER CONVEYANCES,GRANTOR,GRANTEE,NA
D,PWFL,PARTIAL WITHDRAWL OF FED LIEN,UCC AND FEDERAL LIENS,PARTY ONE,PARTY TWO,NA
D,PRCFL,PARTIAL REVOCATION OF CERT RFL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,DPFTL,DISCHARGE OF PROPERTY FROM FTL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,DEEDP,"DEED, PRE RPT TAX",DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,TORREN,TORREN,DEEDS AND OTHER CONVEYANCES,PARTY  1,PARTY  2,NA
D,"DEED, RC",DEED WITH RESTRICTIVE COVENANT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,SCDEC,DECLARATION OF CONDO IN CONDO,DEEDS AND OTHER CONVEYANCES,PARTY 1,NA,NA
